        Measured Period [us]    Set Period [us]    Error [%]
 930                     397                 25        -1488
 931                     397                 25        -1488
 932                     397                 25        -1488
 933                     396                 25        -1484
 934                     397                 25        -1488
 935                     397                 25        -1488
 936                     397                 25        -1488
 937                     397                 25        -1488
 938                     397                 25        -1488
 939                     396                 25        -1484
 940                     397                 25        -1488
 941                     397                 25        -1488
 942                     397                 25        -1488
 943                     397                 25        -1488
 944                     396                 25        -1484
 945                     397                 25        -1488
 946                     397                 25        -1488
 947                     397                 25        -1488
 948                     397                 25        -1488
 949                     397                 25        -1488
 950                     396                 25        -1484
 951                     397                 25        -1488
 952                     397                 25        -1488
 953                     397                 25        -1488
 954                     397                 25        -1488
 955                     397                 25        -1488
 956                     396                 25        -1484
 957                     397                 25        -1488
 958                     397                 25        -1488
 959                     397                 25        -1488
 960                     397                 25        -1488
 961                     396                 25        -1484
 962                     397                 25        -1488
 963                     397                 25        -1488
 964                     397                 25        -1488
 965                     397                 25        -1488
 966                     397                 25        -1488
 967                     396                 25        -1484
 968                     397                 25        -1488
 969                     397                 25        -1488
 970                     397                 25        -1488
 971                     397                 25        -1488
 972                     396                 25        -1484
 973                     397                 25        -1488
 974                     397                 25        -1488
 975                     397                 25        -1488
 976                     397                 25        -1488
 977                     397                 25        -1488
 978                     396                 25        -1484
 979                     397                 25        -1488
 980                     397                 25        -1488
 981                     397                 25        -1488
 982                     397                 25        -1488
 983                     397                 25        -1488
 984                     396                 25        -1484
 985                     397                 25        -1488
 986                     397                 25        -1488
 987                     397                 25        -1488
 988                     397                 25        -1488
 989                     396                 25        -1484
 990                     397                 25        -1488
 991                     397                 25        -1488
 992                     397                 25        -1488
 993                     397                 25        -1488
 994                     397                 25        -1488
 995                     396                 25        -1484
 996                     397                 25        -1488
 997                     397                 25        -1488
 998                     397                 25        -1488
 999                     397                 25        -1488
1000                     396                 25        -1484
1001                     397                 25        -1488
1002                     397                 25        -1488
1003                     397                 25        -1488
1004                     397                 25        -1488
1005                     397                 25        -1488
1006                     396                 25        -1484
1007                     397                 25        -1488
1008                     397                 25        -1488
1009                     397                 25        -1488
1010                     397                 25        -1488
1011                     397                 25        -1488
1012                     396                 25        -1484
1013                     397                 25        -1488
1014                     397                 25        -1488
1015                     397                 25        -1488
1016                     397                 25        -1488
1017                     396                 25        -1484
1018                     397                 25        -1488
1019                     397                 25        -1488
1020                     397                 25        -1488
1021                     397                 25        -1488
1022                     397                 25        -1488
1023                     396                 25        -1484
1024                     397                 25        -1488
1025                     397                 25        -1488
1026                     397                 25        -1488
1027                     397                 25        -1488
1028                     396                 25        -1484
1029                     397                 25        -1488
1030                     397                 25        -1488
1031                     397                 25        -1488
1032                     397                 25        -1488
1033                     397                 25        -1488
1034                     396                 25        -1484
1035                     397                 25        -1488
1036                     397                 25        -1488
1037                     397                 25        -1488
1038                     397                 25        -1488
1039                     397                 25        -1488
1040                     396                 25        -1484
1041                     397                 25        -1488
1042                     397                 25        -1488
1043                     397                 25        -1488
1044                     397                 25        -1488
1045                     396                 25        -1484
1046                     397                 25        -1488
1047                     397                 25        -1488
1048                     397                 25        -1488
1049                     397                 25        -1488
1050                     397                 25        -1488
1051                     396                 25        -1484
1052                     397                 25        -1488
1053                     397                 25        -1488
1054                     397                 25        -1488
1055                     397                 25        -1488
1056                     396                 25        -1484
1057                     397                 25        -1488
1058                     397                 25        -1488
1059                     397                 25        -1488
1060                     397                 25        -1488
1061                     397                 25        -1488
1062                     396                 25        -1484
1063                     397                 25        -1488
