        Measured Period [us]    Set Period [us]    Error [%]
 728                993                    1000      0.7
 729                992.938                1000      0.70625
 730                995                    1000      0.5
 731                994.938                1000      0.50625
 732                994.938                1000      0.50625
 733                995                    1000      0.5
 734                992.938                1000      0.70625
 735                993                    1000      0.7
 736                994.938                1000      0.50625
 737                995                    1000      0.5
 738                994.938                1000      0.50625
 739                994.938                1000      0.50625
 740                993                    1000      0.7
 741                993                    1000      0.7
 742                994.938                1000      0.50625
 743                994.938                1000      0.50625
 744                995                    1000      0.5
 745                994.938                1000      0.50625
 746                994.938                1000      0.50625
 747                995                    1000      0.5
 748                992.938                1000      0.70625
 749                993                    1000      0.7
 750                994.938                1000      0.50625
 751                995                    1000      0.5
 752                992.938                1000      0.70625
 753                993                    1000      0.7
 754                994.938                1000      0.50625
 755                995                    1000      0.5
 756                994.938                1000      0.50625
 757                994.938                1000      0.50625
 758                993                    1000      0.7
 759                992.938                1000      0.70625
 760                995                    1000      0.5
 761                994.938                1000      0.50625
 762                994.938                1000      0.50625
 763                995                    1000      0.5
 764                992.938                1000      0.70625
 765                993                    1000      0.7
 766                994.938                1000      0.50625
 767                995                    1000      0.5
 768                994.938                1000      0.50625
 769                994.938                1000      0.50625
 770                995                    1000      0.5
 771                994.938                1000      0.50625
 772                993                    1000      0.7
 773                992.938                1000      0.70625
 774                995                    1000      0.5
 775                994.938                1000      0.50625
 776                994.938                1000      0.50625
 777                995                    1000      0.5
 778                992.938                1000      0.70625
 779                993                    1000      0.7
 780                994.938                1000      0.50625
 781                995                    1000      0.5
 782                994.938                1000      0.50625
 783                994.938                1000      0.50625
 784                993                    1000      0.7
 785                992.938                1000      0.70625
 786                995                    1000      0.5
 787                994.938                1000      0.50625
 788                995                    1000      0.5
 789                994.938                1000      0.50625
 790                992.938                1000      0.70625
 791                993                    1000      0.7
 792                994.938                1000      0.50625
 793                995                    1000      0.5
 794                994.938                1000      0.50625
 795                994.938                1000      0.50625
 796                993                    1000      0.7
 797                993                    1000      0.7
 798                994.938                1000      0.50625
 799                994.938                1000      0.50625
 800                995                    1000      0.5
 801                994.938                1000      0.50625
 802                993                    1000      0.7
 803                992.938                1000      0.70625
 804                995                    1000      0.5
 805                994.938                1000      0.50625
 806                994.938                1000      0.50625
 807                995                    1000      0.5
 808                992.938                1000      0.70625
 809                993                    1000      0.7
 810                994.938                1000      0.50625
 811                995                    1000      0.5
 812                994.938                1000      0.50625
 813                994.938                1000      0.50625
 814                993                    1000      0.7
 815                992.938                1000      0.70625
 816                995                    1000      0.5
 817                994.938                1000      0.50625
 818                995                    1000      0.5
 819                994.938                1000      0.50625
 820                992.938                1000      0.70625
 821                993                    1000      0.7
 822                994.938                1000      0.50625
 823                995                    1000      0.5
 824                994.938                1000      0.50625
 825                994.938                1000      0.50625
 826                995                    1000      0.5
 827                994.938                1000      0.50625
 828                993                    1000      0.7
 829                992.938                1000      0.70625
 830                995                    1000      0.5
 831                994.938                1000      0.50625
 832                994.938                1000      0.50625
 833                995                    1000      0.5
 834                992.938                1000      0.70625
 835                993                    1000      0.7
 836                994.938                1000      0.50625
 837                995                    1000      0.5
 838                994.938                1000      0.50625
 839                994.938                1000      0.50625
 840                993                    1000      0.7
 841                993                    1000      0.7
 842                994.938                1000      0.50625
 843                994.938                1000      0.50625
 844                995                    1000      0.5
 845                994.938                1000      0.50625
 846                993                    1000      0.7
 847                992.938                1000      0.70625
 848                995                    1000      0.5
 849                994.938                1000      0.50625
 850                994.938                1000      0.50625
 851                995                    1000      0.5
 852                992.938                1000      0.70625
 853                993                    1000      0.7
 854                994.938                1000      0.50625
 855                995                    1000      0.5
 856                994.938                1000      0.50625
 857                994.938                1000      0.50625
 858                993                    1000      0.7
 859                992.938                1000      0.70625
 860                995                    1000      0.5
 861                994.938                1000      0.50625
 862                994.938                1000      0.50625
 863                995                    1000      0.5
 864                992.938                1000      0.70625
 865                993                    1000      0.7
 866                994.938                1000      0.50625
 867                995                    1000      0.5
 868                994.938                1000      0.50625
 869                994.938                1000      0.50625
 870                993                    1000      0.7
 871                993                    1000      0.7
 872                994.938                1000      0.50625
 873                994.938                1000      0.50625
 874                995                    1000      0.5
 875                994.938                1000      0.50625
 876                994.938                1000      0.50625
 877                995                    1000      0.5
 878                992.938                1000      0.70625
 879                993                    1000      0.7
 880                994.938                1000      0.50625
 881                995                    1000      0.5
 882                992.938                1000      0.70625
 883                993                    1000      0.7
 884                994.938                1000      0.50625
 885                995                    1000      0.5
 886                994.938                1000      0.50625
 887                994.938                1000      0.50625
 888                995                    1000      0.5
 889                994.938                1000      0.50625
 890                993                    1000      0.7
 891                992.938                1000      0.70625
 892                995                    1000      0.5
 893                994.938                1000      0.50625
 894                994.938                1000      0.50625
 895                995                    1000      0.5
 896                992.938                1000      0.70625
 897                993                    1000      0.7
 898                994.938                1000      0.50625
 899                995                    1000      0.5
 900                994.938                1000      0.50625
 901                994.938                1000      0.50625
 902                993                    1000      0.7
 903                992.938                1000      0.70625
 904                995                    1000      0.5
 905                994.938                1000      0.50625
 906                994.938                1000      0.50625
 907                995                    1000      0.5
 908                992.938                1000      0.70625
 909                993                    1000      0.7
 910                994.938                1000      0.50625
 911                995                    1000      0.5
 912                994.938                1000      0.50625
 913                994.938                1000      0.50625
 914                993                    1000      0.7
 915                993                    1000      0.7
 916                994.938                1000      0.50625
 917                994.938                1000      0.50625
 918                995                    1000      0.5
 919                994.938                1000      0.50625
 920                993                    1000      0.7
 921                992.938                1000      0.70625
 922                995                    1000      0.5
 923                994.938                1000      0.50625
 924                994.938                1000      0.50625
 925                995                    1000      0.5
 926                992.938                1000      0.70625
 927                993                    1000      0.7
 928                994.938                1000      0.50625
 929                995                    1000      0.5
 930                994.938                1000      0.50625
 931                994.938                1000      0.50625
 932                993                    1000      0.7
 933                992.938                1000      0.70625
 934                995                    1000      0.5
 935                994.938                1000      0.50625
 936                995                    1000      0.5
 937                994.938                1000      0.50625
 938                994.938                1000      0.50625
 939                995                    1000      0.5
 940                992.938                1000      0.70625
 941                993                    1000      0.7
 942                994.938                1000      0.50625
 943                995                    1000      0.5
 944                994.938                1000      0.50625
 945                994.938                1000      0.50625
 946                993                    1000      0.7
 947                992.938                1000      0.70625
 948                995                    1000      0.5
 949                994.938                1000      0.50625
 950                995                    1000      0.5
 951                994.938                1000      0.50625
 952                992.938                1000      0.70625
 953                993                    1000      0.7
 954                994.938                1000      0.50625
 955                995                    1000      0.5
 956                994.938                1000      0.50625
 957                995                    1000      0.5
 958                992.938                1000      0.70625
 959                993                    1000      0.7
 960                994.938                1000      0.50625
 961                994.938                1000      0.50625
 962                995                    1000      0.5
 963                994.938                1000      0.50625
 964                993                    1000      0.7
 965                992.938                1000      0.70625
 966                995                    1000      0.5
 967                994.938                1000      0.50625
 968                994.938                1000      0.50625
 969                995                    1000      0.5
 970                992.938                1000      0.70625
 971                993                    1000      0.7
 972                994.938                1000      0.50625
